id	x_coord	y_coord	request
1	40	50	0
2	25	85	20
3	22	75	30
4	22	85	10
5	20	80	40
6	20	85	20
7	18	75	20
8	15	75	20
9	15	80	10
10	10	35	20
11	10	40	30
12	8	40	40
13	8	45	20
14	5	35	10
15	5	45	10
16	2	40	20
17	0	40	20
18	0	45	20
19	44	5	20
20	42	10	40
21	42	15	10
22	40	5	10
23	40	15	40
24	38	5	30
25	38	15	10
26	35	5	20
27	95	30	30
28	95	35	20
29	92	30	10
30	90	35	10
31	88	30	10
32	88	35	20
33	87	30	10
34	85	25	10
35	85	35	30
36	67	85	20
37	65	85	40
38	65	82	10
39	62	80	30
40	60	80	10
41	60	85	30
42	58	75	20
43	55	80	10
44	55	85	20
45	55	82	10
46	20	82	10
47	18	80	10
48	2	45	10
49	42	5	10
50	42	12	10
51	72	35	30
52	55	20	19
53	25	30	3
54	20	50	5
55	55	60	16
56	30	60	16
57	50	35	19
58	30	25	23
59	15	10	20
60	10	20	19
61	15	60	17
62	45	65	9
63	65	35	3
64	65	20	6
65	45	30	17
66	35	40	16
67	41	37	16
68	64	42	9
69	40	60	21
70	31	52	27
71	35	69	23
72	65	55	14
73	63	65	8
74	2	60	5
75	20	20	8
76	5	5	16
77	60	12	31
78	23	3	7
79	8	56	27
80	6	68	30
81	47	47	13
82	49	58	10
83	27	43	9
84	37	31	14
85	57	29	18
86	63	23	2
87	21	24	28
88	12	24	13
89	24	58	19
90	67	5	25
91	37	47	6
92	49	42	13
93	53	43	14
94	61	52	3
95	57	48	23
96	56	37	6
97	55	54	26
98	4	18	35
99	26	52	9
100	26	35	15
101	31	67	3

